suburb,total,Toyota,Holden,Ford,Mazda,Volkswagen,Hyundai,Mitsubishi,Subaru,Nissan,Honda,Kia,Bmw,Mercedes,Audi,Suzuki,Volvo,Jeep,Lexus,Peugeot,Skoda,Land Rover,Renault,Isuzu,Porsche,Mini,Citroen,Fiat,Alfa Romeo
Kambah,9279,1720,1108,1047,918,453,594,566,515,541,357,330,177,119,117,180,71,59,41,69,77,36,51,39,18,17,19,28,12
Ngunnawal,5951,1155,699,589,602,252,449,380,262,374,290,220,107,90,79,111,26,52,30,29,42,26,17,23,11,6,4,15,11
Gordon,4667,832,621,520,495,177,300,346,203,300,176,171,82,67,47,116,18,41,35,19,26,14,27,7,4,11,5,3,4
Wanniassa,4616,866,536,495,431,224,310,329,279,245,198,145,79,67,54,77,24,32,31,39,32,26,31,16,5,7,15,14,9
Kaleen,4396,986,488,481,420,236,279,218,256,229,193,125,87,74,55,47,27,29,31,24,33,15,14,12,6,6,11,8,6
Nicholls,4186,741,398,336,465,291,226,193,165,189,218,110,194,183,104,53,43,49,56,28,16,26,19,21,26,18,5,6,7
Dunlop,4000,769,521,481,378,155,288,265,140,275,168,161,51,38,30,84,21,41,19,14,20,22,12,13,4,12,4,12,2
Macgregor,3899,795,472,455,344,155,237,265,167,234,194,166,48,43,35,76,22,43,14,27,23,12,23,11,1,9,7,15,6
Harrison,3913,837,326,295,375,267,215,214,186,174,233,152,130,81,90,76,28,41,38,23,36,31,18,6,1,22,5,8,5
Belconnen,3748,728,345,351,346,239,316,208,159,175,236,123,70,59,56,94,17,42,29,22,17,13,25,21,10,14,13,12,8
Gungahlin,3652,790,338,300,347,224,206,241,158,154,206,110,109,84,83,53,27,48,32,25,26,17,24,17,5,13,3,11,1
Fyshwick,3256,933,294,414,100,185,137,213,79,90,47,118,54,103,31,22,31,35,61,12,9,17,42,144,41,1,8,24,11
Calwell,3518,638,444,411,331,143,237,256,159,219,132,106,73,53,46,73,15,38,23,19,20,16,22,11,7,8,10,4,4
Franklin,3509,708,266,295,320,217,222,175,162,194,246,101,111,88,89,61,25,36,35,31,21,28,25,4,5,19,8,13,4
Bruce,3312,641,241,213,326,293,239,178,146,138,223,119,107,84,71,65,31,26,45,20,24,18,14,3,6,12,13,11,5
Chisholm,3279,625,463,428,295,114,204,241,136,229,127,107,43,38,19,54,10,27,18,18,17,9,12,20,4,6,2,6,7
Monash,3295,647,407,363,333,171,197,197,143,164,158,94,54,48,31,72,20,23,32,22,25,17,22,11,12,11,5,11,5
Narrabundah,3252,591,282,271,291,289,172,156,212,150,137,110,95,82,74,46,49,23,22,50,28,28,24,7,7,11,15,10,20
Bonner,3257,726,294,281,290,163,228,192,113,214,195,124,92,46,60,56,14,33,28,15,24,24,12,8,1,3,10,9,2
Phillip,3230,632,271,221,311,290,219,172,147,168,138,78,110,59,102,44,24,21,24,30,47,44,19,8,12,14,5,10,10
Palmerston,3168,647,313,346,325,153,187,180,151,178,172,119,62,60,43,54,15,43,26,8,14,16,10,14,2,5,7,5,13
Casey,3147,560,322,282,336,205,207,160,139,202,178,105,71,64,71,46,21,41,21,18,22,23,17,9,4,11,5,4,3
Amaroo,3106,559,356,307,324,178,196,201,160,179,124,110,68,65,38,51,20,36,21,18,21,15,12,5,8,11,4,9,10
Evatt,3066,576,374,354,364,167,182,190,132,191,138,88,30,39,33,47,17,21,9,19,27,11,7,17,6,7,5,9,6
Conder,3075,579,346,367,291,135,203,207,154,154,119,120,55,45,37,95,15,28,19,21,17,12,15,12,8,8,3,3,7
Watson,3046,594,256,244,289,237,228,179,247,149,148,81,56,50,44,63,33,21,9,32,27,8,11,4,5,9,7,9,6
Curtin,3020,560,251,250,277,275,166,131,226,115,163,65,89,84,62,36,50,20,25,32,30,36,18,8,8,12,15,6,10
Banks,2960,544,403,378,301,98,201,222,115,181,87,124,24,23,21,72,17,39,16,10,18,18,11,9,5,11,2,9,1
Kingston,2884,375,185,165,298,328,146,113,207,101,135,54,123,155,129,59,27,42,44,31,19,39,17,2,31,19,15,9,16
Holt,2848,624,361,344,255,86,231,199,109,181,118,87,28,43,10,48,9,19,14,19,14,12,11,7,1,2,10,2,4
O'Connor,2772,525,201,208,270,243,177,116,225,104,130,46,81,73,48,45,47,21,23,37,30,35,11,4,12,17,13,17,13
Florey,2725,564,301,271,310,132,184,162,133,136,194,74,43,25,25,42,11,14,19,11,21,7,15,9,2,8,6,4,2
Griffith,2662,409,174,163,239,296,131,92,167,79,128,68,154,113,95,43,47,29,38,35,26,38,12,3,31,16,18,9,9
Lyneham,2662,547,215,183,258,172,166,142,182,135,166,74,63,80,36,45,31,16,17,35,17,15,14,8,4,11,13,8,9
Isabella Plains,2611,504,323,293,259,90,167,178,113,180,114,85,41,27,23,76,12,20,21,14,16,7,15,15,1,5,4,3,5
Ainslie,2607,474,170,201,239,247,185,120,236,117,142,50,63,57,54,26,33,17,8,49,29,18,12,6,4,13,17,12,8
Campbell,2423,390,188,170,208,245,120,104,187,95,105,59,107,102,74,37,36,20,21,27,21,32,11,11,13,10,12,9,9
Theodore,2337,451,323,267,217,103,126,158,119,129,98,72,28,26,27,61,5,23,12,12,18,9,9,18,3,12,1,6,4
Crace,2334,457,176,173,237,175,142,92,95,104,132,76,93,76,72,34,28,28,28,13,23,24,14,6,5,15,5,8,3
Yarralumla,2256,337,139,143,145,231,69,61,116,74,94,51,160,189,107,23,51,24,44,26,17,38,11,4,45,16,14,13,14
Bonython,2269,443,254,230,235,93,143,137,99,142,128,76,41,41,17,68,6,13,20,14,9,12,13,5,6,4,6,10,4
Braddon,2272,478,140,173,220,214,156,104,139,88,114,53,55,48,56,62,25,17,6,20,20,12,21,3,9,13,10,8,8
Latham,2215,474,300,252,222,88,143,133,113,147,67,59,29,17,17,44,11,21,7,11,15,9,8,11,8,2,3,0,4
Greenway,1763,356,146,158,163,84,128,129,75,95,76,54,39,42,19,49,10,22,15,18,12,8,9,34,3,6,6,3,4
Forde,2124,348,157,178,218,183,106,83,88,107,99,77,92,77,76,28,29,36,19,9,21,31,7,6,16,13,7,6,7
Flynn,2110,435,242,269,198,88,145,141,105,110,84,75,29,27,18,35,10,13,12,15,15,5,4,10,7,2,7,4,5
Weston,2101,388,197,178,218,148,130,128,142,91,107,51,48,41,38,26,20,21,11,20,21,23,15,9,8,8,6,4,4
Farrer,2074,354,177,180,232,177,105,115,112,93,111,50,53,54,47,23,26,23,30,15,20,19,14,7,10,8,9,5,5
Downer,1995,423,205,150,194,129,140,98,150,94,103,68,35,33,19,38,16,13,10,9,26,8,12,2,0,6,5,5,4
Giralang,1991,387,221,217,202,109,138,131,118,103,93,50,22,35,19,33,16,17,9,6,14,11,8,9,1,5,9,4,4
Duffy,1951,373,196,190,161,149,123,115,127,85,76,70,42,21,35,31,20,18,10,15,39,13,14,4,2,7,7,6,2
Moncrieff,1961,472,175,140,151,109,148,125,80,121,110,84,41,21,38,37,18,20,11,12,13,10,10,0,2,4,5,3,1
Fadden,1934,336,180,167,204,148,102,93,121,84,106,47,62,58,41,28,13,13,20,18,22,20,15,3,8,2,3,8,12
Deakin,1921,343,105,110,149,193,91,60,87,57,97,27,99,141,104,20,50,15,40,24,10,25,9,5,31,12,3,7,7
Melba,1876,358,224,220,186,74,112,96,100,111,89,56,36,44,19,26,11,21,10,18,14,13,11,8,3,5,3,4,4
Mawson,1882,343,159,156,169,145,123,101,110,95,100,46,47,45,38,33,23,21,24,28,15,16,15,1,1,7,11,7,3
Dickson,1806,389,169,188,144,127,111,112,98,77,66,71,28,35,24,24,13,11,7,15,17,6,14,39,0,4,4,8,5
Richardson,1855,364,284,240,161,57,101,158,80,132,55,49,25,14,11,37,12,8,6,7,11,4,7,18,1,3,3,2,5
Gowrie,1841,328,204,215,180,113,104,123,98,84,93,58,30,39,28,37,10,11,17,12,17,10,9,6,3,2,2,2,6
Higgins,1816,355,234,232,196,72,92,113,85,107,76,59,30,18,20,31,9,17,7,14,15,8,5,10,1,3,3,3,1
Rivett,1823,347,185,204,172,110,115,106,120,102,84,52,39,14,21,31,10,13,16,16,15,16,11,6,2,3,5,4,4
Garran,1802,317,111,124,155,171,109,69,101,76,106,47,79,72,54,17,35,12,23,32,20,20,11,2,11,9,6,5,8
Coombs,1784,328,150,125,187,129,120,92,112,82,99,62,58,36,38,34,21,20,17,10,14,15,12,2,0,6,7,5,3
Chapman,1769,299,149,142,160,160,86,68,114,64,98,47,71,71,41,23,33,17,24,15,18,24,14,4,7,4,3,9,4
Red Hill,1745,244,88,101,120,197,65,61,83,55,88,39,122,156,70,17,32,10,33,25,14,35,8,5,38,9,8,11,11
Hawker,1755,334,149,166,183,108,96,93,118,83,102,41,56,52,24,25,14,6,16,17,11,14,15,3,6,5,8,4,6
Charnwood,1727,334,257,266,142,59,102,142,80,99,59,41,20,18,9,42,6,8,7,4,7,5,5,8,1,1,2,1,2
Fisher,1742,303,177,183,173,114,116,120,106,112,65,62,20,30,19,30,15,10,10,19,15,5,7,10,2,4,8,4,3
Mckellar,1723,318,210,184,171,81,94,90,86,87,86,42,55,48,26,24,12,10,27,6,17,6,7,8,4,5,5,11,3
Mitchell,1493,337,166,276,39,52,57,98,23,50,9,69,10,106,11,2,7,8,2,9,5,11,25,105,8,2,3,3,0
Turner,1693,310,120,96,163,151,115,79,130,59,93,28,56,48,44,28,28,15,14,37,16,19,9,1,11,7,6,3,7
Hackett,1661,319,120,123,151,143,117,110,144,64,85,42,27,26,21,29,27,9,10,19,25,10,5,4,3,8,10,8,2
Pearce,1625,312,135,146,180,139,85,75,70,72,68,48,49,56,35,20,13,9,16,18,11,12,10,14,7,5,9,5,6
Gilmore,1630,293,256,218,157,59,101,114,64,93,52,54,25,21,11,39,9,15,2,6,9,9,2,8,1,1,6,4,1
Cook,1631,354,141,130,136,111,107,90,140,58,96,35,29,22,24,19,22,6,8,27,32,10,9,1,1,8,9,2,4
Lyons,1611,358,125,139,157,104,109,87,81,72,109,38,31,31,23,24,15,9,10,28,16,15,8,7,2,3,5,4,1
Scullin,1592,342,167,166,131,80,114,110,93,87,99,46,18,24,8,36,4,8,7,13,11,7,8,5,1,2,1,2,2
Holder,1581,281,156,154,164,110,111,86,107,84,70,47,27,22,19,29,14,12,9,16,17,13,11,3,3,5,5,6,0
