Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"SSC (UR)",
"Aarons Pass",20,0,0,0,0,0,0,0,0,0,0,20,
"Abbotsbury",2211,523,268,725,43,246,87,0,23,6,122,4251,
"Abbotsford (NSW)",3593,717,117,108,26,70,347,0,16,9,371,5377,
"Abercrombie",1043,8,0,0,12,3,12,0,7,0,38,1111,
"Abercrombie River",19,0,0,0,0,0,0,0,0,0,0,23,
"Aberdare",2283,9,4,3,8,7,4,0,0,0,145,2471,
"Aberdeen (NSW)",1876,0,0,6,0,14,3,0,3,0,176,2088,
"Aberfoyle",92,0,0,0,0,0,0,0,0,0,7,101,
"Aberglasslyn",4968,28,9,15,92,34,26,0,29,5,194,5403,
"Abermain",2173,6,0,0,3,6,6,0,3,5,136,2336,
"Abernethy",273,0,0,0,0,0,0,0,0,0,71,345,
"Abington (NSW)",15,0,0,0,0,0,0,0,0,0,0,15,
"Acacia Creek",37,0,0,0,0,0,0,0,0,0,0,37,
"Acacia Gardens",2069,123,77,177,833,249,125,0,38,10,100,3799,
"Adaminaby",280,4,0,0,0,0,0,0,0,0,12,305,
"Adamstown",5424,114,131,16,60,52,50,0,16,9,177,6046,
"Adamstown Heights",4745,122,146,10,25,53,73,0,7,7,113,5295,
"Adelong",879,4,0,0,0,4,0,0,0,0,58,944,
"Adjungbilly",76,0,0,0,0,0,0,0,0,0,6,86,
"Afterlee",41,0,0,0,0,0,0,0,0,0,9,47,
"Agnes Banks",788,39,19,0,4,0,0,0,0,0,56,911,
"Airds",2138,52,42,104,25,48,3,5,181,6,324,2927,
"Akolele",121,4,0,0,0,0,0,0,0,0,47,168,
"Albert",72,0,0,0,0,0,0,0,0,0,10,82,
"Albion Park",12158,265,148,24,44,80,63,0,31,17,490,13319,
"Albion Park Rail",6181,134,79,27,16,50,17,0,25,12,372,6918,
"Albury",4095,73,33,18,94,26,43,0,0,8,412,4802,
"Aldavilla",656,0,0,0,0,0,0,0,0,0,570,1226,
"Alectown",155,0,0,0,0,0,0,0,0,0,15,170,
"Alexandria",6053,463,170,69,73,246,504,0,19,18,655,8264,
"Alfords Point",2171,337,156,163,48,52,100,0,19,6,65,3112,
"Alfredtown",94,0,0,0,0,0,0,0,0,0,16,109,
"Alice",11,0,0,0,0,0,0,0,0,0,0,6,
"Alison (Central Coast - NSW)",81,3,0,0,0,0,0,0,0,0,9,95,
"Alison (Dungog - NSW)",71,0,0,0,0,0,0,0,0,0,5,78,
"Allambie Heights",6003,280,62,27,44,63,267,0,6,12,247,7006,
"Allandale (NSW)",64,0,0,0,0,0,0,0,0,0,5,74,
"Allawah",1555,368,386,264,726,267,1829,0,52,34,227,5710,
"Alleena",48,0,0,0,0,0,0,0,0,0,11,56,
"Allgomera",124,0,0,0,0,0,0,0,0,0,7,132,
"Allworth",154,0,0,0,0,0,0,0,0,0,14,168,
"Allynbrook",62,0,0,0,0,0,0,0,0,0,5,67,
"Alma Park",53,0,0,0,0,0,0,0,0,0,0,55,
"Alpine",121,0,0,0,0,0,0,0,0,0,13,141,
"Alstonvale",401,17,0,0,0,0,0,0,0,0,21,441,
"Alstonville",5316,68,10,3,10,5,25,0,9,9,288,5738,
"Alumy Creek",80,0,0,0,0,0,0,0,0,0,8,90,
"Amaroo (NSW)",40,0,0,0,0,0,0,0,0,0,8,49,
"Ambarvale",5261,289,168,267,236,274,69,0,267,16,518,7378,
"Amosfield",32,0,0,0,0,0,0,0,0,0,0,35,
"Anabranch North",5,0,0,0,0,0,0,0,0,0,0,5,
"Anabranch South",36,0,0,0,0,0,0,0,0,0,0,36,
"Anambah",19,0,0,0,0,0,0,0,0,0,13,36,
"Ando",66,0,0,0,0,0,0,0,0,0,0,69,
"Anembo",53,0,0,0,0,0,0,0,0,0,12,67,
"Angledale",140,0,0,0,0,0,0,0,0,0,13,152,
"Angledool",43,0,0,0,0,0,0,0,0,0,8,55,
"Anglers Reach",59,5,0,0,0,0,0,0,0,0,25,90,
"Angourie",192,5,0,0,0,0,0,0,0,0,21,219,
"Anna Bay",3360,50,15,0,3,19,16,0,0,4,380,3844,
"Annandale (NSW)",7404,543,118,112,69,159,309,0,10,20,702,9452,
"Annangrove",1237,61,14,8,13,0,10,0,0,0,53,1399,
"Appin (NSW)",2327,42,24,25,15,18,12,0,7,7,152,2633,
"Apple Tree Flat",31,0,0,0,0,0,0,0,0,0,12,37,
"Appleby",32,0,0,0,0,0,0,0,0,0,0,39,
"Appletree Flat",16,0,0,0,0,0,0,0,0,0,4,13,
"Apsley (NSW)",103,0,0,0,0,0,0,0,0,0,4,108,
"Arable",17,0,0,0,0,0,0,0,0,0,0,13,
"Arakoon",392,3,0,0,0,0,0,0,0,0,20,419,
"Araluen (NSW)",134,0,5,0,0,0,0,0,0,0,24,168,
"Aratula (NSW)",9,0,0,0,0,0,0,0,0,0,0,9,
"Arcadia (NSW)",1250,36,4,18,0,7,26,0,4,0,49,1384,
"Arcadia Vale",1301,3,4,0,0,13,5,0,0,0,53,1375,
"Ardglen",49,0,0,0,0,0,0,0,0,0,6,60,
"Arding",204,0,0,0,0,0,0,0,0,0,0,206,
"Ardlethan",432,0,0,4,0,3,0,0,0,0,76,517,
"Argalong",28,0,0,0,0,0,0,0,0,0,0,31,
"Argenton",1192,15,18,0,6,29,7,0,3,14,71,1347,
"Argents Hill",197,0,0,0,0,3,0,0,0,0,17,219,
"Argoon (NSW)",17,0,0,0,0,0,0,0,0,0,0,17,
"Ariah Park",456,0,0,0,3,0,0,0,0,0,34,492,
"Arkell",40,0,0,0,0,0,0,0,0,0,8,45,
"Arkstone",24,0,0,0,0,0,0,0,0,0,4,22,
"Armatree",137,0,0,0,0,0,0,0,0,0,14,152,
"Armidale",19592,202,50,378,511,267,444,17,151,50,1709,23348,
"Arncliffe",3909,897,790,1802,494,535,1400,5,80,45,629,10590,
"Arndell Park",12,0,0,0,0,0,0,0,0,0,13,32,
"Arrawarra",462,0,0,0,0,5,4,0,0,0,53,521,
"Arrawarra Headland",501,0,0,0,0,4,16,0,0,0,31,553,
"Artarmon",4908,258,187,216,728,354,2340,0,13,27,494,9525,
"Arthurville",32,0,0,0,0,0,0,4,0,0,0,37,
"Arumpo",34,0,0,0,0,0,0,0,0,0,0,33,
"Ashbury",2002,718,68,170,31,17,183,0,5,3,116,3326,
"Ashby (NSW)",300,0,0,0,0,0,0,0,0,0,22,329,
"Ashby Heights",210,0,0,0,0,0,0,0,0,0,17,229,
"Ashby Island",11,0,0,0,0,0,0,0,0,0,5,16,
"Ashcroft",1410,113,67,760,115,466,81,0,158,12,403,3581,
"Ashfield (NSW)",9524,1654,498,485,3187,1429,5356,7,125,71,1492,23839,
"Ashford (NSW)",581,5,0,0,0,0,0,0,0,0,63,647,
"Ashley",341,0,0,0,0,0,0,0,0,0,27,364,
"Ashmont",3395,26,6,19,4,28,4,3,37,5,300,3830,
"Ashtonfield",4111,46,29,29,99,44,69,0,11,3,194,4647,
"Asquith",2366,75,42,68,204,106,397,0,17,10,114,3378,
"Atholwood",70,3,8,0,0,0,0,0,0,0,0,81,
"Attunga",524,0,0,0,0,0,0,0,0,0,44,573,
"Auburn (NSW)",4850,559,401,11538,7731,1368,7737,0,887,176,2113,37370,
"Auburn Vale",118,0,0,0,0,0,0,0,0,0,7,124,
"Austinmer",2326,36,27,0,4,4,12,0,0,0,139,2560,
"Austral",1574,547,129,264,20,58,76,0,15,6,334,3022,
"Austral Eden",130,3,0,0,0,0,0,0,0,0,10,146,
"Avalon Beach",9108,200,38,17,3,45,52,0,4,14,420,9908,
"Avisford",24,0,0,0,0,0,0,0,0,0,3,27,
"Avoca (NSW)",193,0,0,0,0,0,0,0,0,0,8,202,
"Avoca Beach",4223,72,18,7,9,14,8,0,12,3,213,4585,
"Avon (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Avondale (NSW)",1455,38,32,13,4,11,0,0,0,0,90,1654,
"Avonside",109,6,0,0,0,0,0,0,0,0,10,122,
"Awaba",372,0,0,0,0,4,0,0,0,4,14,400,
"Aylmerton",181,0,3,0,0,0,0,0,4,0,0,187,
