Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SSC (UR)",
"Aarons Pass",3,0,0,0,0,0,3,0,0,0,7,20,
"Abbotsbury",319,421,350,174,443,258,132,164,19,18,1950,4251,
"Abbotsford (NSW)",549,858,214,186,399,245,57,106,33,13,2716,5377,
"Abercrombie",73,130,72,72,96,50,29,42,3,0,539,1111,
"Abercrombie River",0,0,0,3,0,0,0,0,0,0,11,23,
"Aberdare",50,93,156,145,96,110,137,140,5,6,1524,2471,
"Aberdeen (NSW)",81,66,187,77,94,82,172,139,8,8,1181,2088,
"Aberfoyle",35,0,4,0,6,0,5,6,0,0,44,101,
"Aberglasslyn",219,386,515,304,360,312,342,216,26,17,2703,5403,
"Abermain",61,100,163,102,100,113,150,165,11,6,1377,2336,
"Abernethy",11,9,24,15,18,17,13,18,0,0,230,345,
"Abington (NSW)",0,0,0,0,0,0,0,0,0,0,4,15,
"Acacia Creek",4,0,0,4,0,3,0,7,0,0,21,37,
"Acacia Gardens",253,497,255,188,378,207,154,118,18,9,1729,3799,
"Adaminaby",35,4,22,14,11,13,6,23,0,0,165,305,
"Adamstown",336,814,426,355,452,308,108,270,28,20,2937,6046,
"Adamstown Heights",318,793,303,221,378,224,95,155,21,15,2776,5295,
"Adelong",44,40,63,45,44,26,65,50,7,3,568,944,
"Adjungbilly",15,0,0,0,8,0,0,13,0,0,42,86,
"Afterlee",0,5,3,0,3,0,0,0,0,0,31,47,
"Agnes Banks",59,60,89,43,80,42,36,38,3,0,451,911,
"Airds",16,25,54,98,49,48,95,115,11,7,2404,2927,
"Akolele",5,9,3,4,0,3,0,3,0,0,143,168,
"Albert",22,9,5,0,0,0,0,0,0,0,42,82,
"Albion Park",561,835,1203,868,860,697,614,619,51,35,6974,13319,
"Albion Park Rail",216,306,506,398,364,326,336,394,21,29,4009,6918,
"Albury",367,710,232,244,292,199,64,155,15,12,2515,4802,
"Aldavilla",38,39,44,54,34,36,31,33,3,4,918,1226,
"Alectown",33,15,3,5,4,3,9,6,3,0,89,170,
"Alexandria",1083,2300,410,383,741,412,98,162,53,40,2595,8264,
"Alfords Point",301,399,211,152,327,209,68,87,34,10,1315,3112,
"Alfredtown",19,5,9,6,9,4,0,5,0,0,47,109,
"Alice",0,0,0,0,0,0,0,0,0,0,6,6,
