Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"SSC (UR)",
"Aarons Pass",0,18,0,0,0,0,0,0,0,20,
"Abbotsbury",165,3447,34,110,0,30,305,7,157,4251,
"Abbotsford (NSW)",104,3366,26,33,32,22,1288,13,492,5377,
"Abercrombie",3,805,3,0,0,0,213,16,78,1111,
"Abercrombie River",0,11,0,0,0,0,12,0,0,23,
"Aberdare",9,1559,12,4,0,8,677,16,188,2471,
"Aberdeen (NSW)",15,1499,0,0,0,0,390,7,181,2088,
"Aberfoyle",0,79,0,0,0,0,11,0,9,101,
"Aberglasslyn",28,3728,41,4,0,13,1285,13,294,5403,
"Abermain",9,1499,6,0,0,5,643,9,171,2336,
"Abernethy",5,192,0,0,0,0,73,3,71,345,
"Abington (NSW)",0,12,0,0,0,0,0,0,0,15,
"Acacia Creek",0,19,0,0,0,0,19,0,0,37,
"Acacia Gardens",66,2112,439,204,0,246,528,15,190,3799,
"Adaminaby",0,200,0,0,0,0,89,7,15,305,
"Adamstown",82,3465,41,20,0,9,2080,40,298,6046,
"Adamstown Heights",60,3258,18,12,0,12,1613,31,287,5295,
"Adelong",4,717,0,0,0,0,155,4,75,944,
"Adjungbilly",0,61,0,0,0,0,14,0,9,86,
"Afterlee",0,30,0,0,0,0,13,0,9,47,
"Agnes Banks",4,654,0,0,0,3,162,3,88,911,
"Airds",39,1567,5,130,0,10,812,7,351,2927,
"Akolele",4,49,0,0,0,0,67,0,49,168,
"Albert",0,56,0,0,0,0,11,0,10,82,
"Albion Park",79,8856,16,47,0,25,3470,29,801,13319,
"Albion Park Rail",39,4426,3,18,0,23,1890,27,489,6918,
"Albury",40,2596,71,22,3,15,1544,24,487,4802,
"Aldavilla",0,500,0,0,0,0,147,0,581,1226,
"Alectown",0,146,0,0,0,0,8,0,15,170,
"Alexandria",228,2664,56,54,88,45,4180,43,900,8264,
"Alfords Point",31,2373,30,100,3,9,416,7,134,3112,
"Alfredtown",0,66,0,0,0,0,25,6,16,109,
"Alice",0,3,0,0,0,0,3,0,0,6,
"Alison (Central Coast - NSW)",0,68,0,0,0,0,16,0,11,95,
"Alison (Dungog - NSW)",0,45,0,0,0,0,25,0,6,78,
"Allambie Heights",102,3965,42,19,12,42,2394,20,406,7006,
"Allandale (NSW)",0,43,0,0,0,0,18,0,8,74,
"Allawah",277,2232,516,365,23,70,1819,8,409,5710,
"Alleena",0,44,0,0,0,0,6,0,11,56,
"Allgomera",0,68,0,0,0,0,48,0,13,132,
"Allworth",0,108,0,0,0,0,41,0,18,168,
"Allynbrook",0,38,0,0,0,0,22,0,0,67,
"Alma Park",0,43,0,0,0,0,10,0,0,55,
"Alpine",0,85,0,0,0,0,31,0,13,141,
"Alstonvale",0,281,0,0,0,0,114,3,35,441,
"Alstonville",59,3494,9,4,0,14,1700,28,426,5738,
"Alumy Creek",0,67,0,0,0,0,14,0,4,90,
"Amaroo (NSW)",0,32,0,0,0,0,9,0,4,49,
"Ambarvale",153,4499,106,299,5,51,1579,18,665,7378,
"Amosfield",0,25,0,0,0,0,5,0,0,35,
"Anabranch North",0,3,0,0,0,0,4,0,0,5,
"Anabranch South",0,30,0,0,0,0,4,0,0,36,
"Anambah",0,16,0,0,0,0,9,0,13,36,
"Ando",0,47,0,0,0,0,13,0,8,69,
"Anembo",0,32,0,0,0,0,16,0,13,67,
"Angledale",0,83,0,0,0,0,53,0,21,152,
"Angledool",0,36,0,0,0,0,7,0,13,55,
"Anglers Reach",0,42,0,0,0,0,18,8,28,90,
"Angourie",0,95,0,0,0,0,99,3,19,219,
"Anna Bay",40,2280,3,0,0,5,1032,16,457,3844,
"Annandale (NSW)",191,3653,59,39,70,38,4335,77,998,9452,
"Annangrove",5,1084,0,4,0,14,217,5,67,1399,
"Appin (NSW)",7,1779,6,16,4,7,639,15,157,2633,
"Apple Tree Flat",0,19,0,0,0,0,6,0,16,37,
"Appleby",0,30,0,0,0,0,4,0,0,39,
"Appletree Flat",0,9,0,0,0,0,6,0,4,13,
"Apsley (NSW)",0,84,0,0,0,0,7,0,18,108,
"Arable",0,8,0,0,0,0,4,0,0,13,
"Arakoon",11,235,0,0,0,0,144,0,27,419,
"Araluen (NSW)",0,77,0,0,0,0,59,0,28,168,
"Aratula (NSW)",0,3,0,0,0,0,9,0,0,9,
"Arcadia (NSW)",3,916,0,6,0,0,361,0,93,1384,
"Arcadia Vale",13,849,0,0,0,4,401,9,95,1375,
"Ardglen",0,34,0,0,0,0,6,0,13,60,
"Arding",0,138,0,0,0,0,58,0,11,206,
"Ardlethan",7,335,0,0,0,4,83,10,77,517,
"Argalong",0,23,0,0,0,0,6,0,0,31,
"Argenton",23,823,6,0,0,9,374,4,112,1347,
"Argents Hill",0,118,0,0,0,0,67,0,24,219,
"Argoon (NSW)",0,12,0,0,0,0,5,0,0,17,
"Ariah Park",0,387,0,0,0,3,54,0,45,492,
"Arkell",0,24,0,0,0,0,7,0,6,45,
"Arkstone",0,26,0,0,0,0,0,0,5,22,
"Armatree",0,121,0,0,0,0,12,0,12,152,
"Armidale",290,12815,280,464,10,151,6920,146,2276,23348,
"Arncliffe",392,4213,231,2118,8,24,2566,45,990,10590,
"Arndell Park",0,6,0,3,0,0,10,0,13,32,
"Arrawarra",0,305,0,0,0,0,134,0,78,521,
"Arrawarra Headland",6,265,0,0,0,0,229,0,48,553,
"Artarmon",446,3644,664,190,73,63,3547,44,863,9525,
"Arthurville",0,30,0,0,0,4,8,0,0,37,
"Arumpo",0,22,0,0,0,0,13,0,0,33,
"Ashbury",49,2216,30,45,3,20,745,14,221,3326,
"Ashby (NSW)",7,190,0,0,0,0,95,0,27,329,
"Ashby Heights",5,105,0,0,0,0,90,0,34,229,
"Ashby Island",0,0,0,0,0,0,8,0,5,16,
"Ashcroft",255,1470,67,731,0,85,459,11,505,3581,
"Ashfield (NSW)",1608,8611,2680,403,52,178,8037,107,2163,23839,
"Ashford (NSW)",0,446,0,0,0,6,112,0,82,647,
"Ashley",0,265,0,0,0,0,69,0,36,364,
"Ashmont",8,2460,4,27,0,9,948,12,359,3830,
"Ashtonfield",40,3060,58,70,4,27,1072,6,308,4647,
"Asquith",102,1777,149,38,12,18,1026,43,211,3378,
"Atholwood",0,65,0,0,0,3,11,0,9,81,
"Attunga",0,418,0,0,0,0,101,0,51,573,
"Auburn (NSW)",1991,6596,3291,16053,3,317,5829,78,3209,37370,
"Auburn Vale",0,90,0,0,0,0,26,0,10,124,
"Austinmer",28,1167,3,9,7,14,1087,21,222,2560,
"Austral",40,2022,10,226,0,20,294,4,406,3022,
"Austral Eden",0,114,0,0,0,0,11,0,18,146,
"Avalon Beach",100,4648,11,22,27,30,4331,40,708,9908,
"Avisford",0,13,0,0,0,0,5,0,3,27,
"Avoca (NSW)",3,131,0,0,0,0,52,0,10,202,
"Avoca Beach",38,2585,15,6,0,5,1572,12,343,4585,
"Avon (NSW)",0,0,0,0,0,0,0,0,0,0,
"Avondale (NSW)",8,1046,0,14,0,3,427,0,146,1654,
"Avonside",0,60,0,0,0,0,48,0,9,122,
"Awaba",0,237,0,0,0,0,139,0,22,400,
"Aylmerton",0,130,0,0,0,6,51,0,6,187,
"Baan Baa",0,98,0,0,0,0,36,0,27,163,
"Babinda (NSW)",0,3,0,0,0,0,0,0,0,3,
"Babyl Creek",0,6,0,0,0,0,8,0,0,6,
"Back Creek (Bland - NSW)",0,32,0,0,0,0,5,0,12,51,
"Back Creek (Gwydir - NSW)",0,9,0,0,0,0,3,0,0,12,
"Back Creek (Mid-Coast - NSW)",0,20,0,0,0,0,0,0,0,17,
"Back Creek (Queanbeyan-Palerang Regional - NSW)",0,3,0,0,0,0,5,0,0,12,
"Back Creek (Tenterfield - NSW)",0,7,0,0,0,0,0,0,0,12,
"Back Creek (Tweed - NSW)",0,9,0,0,0,0,3,0,0,14,
"Back Forest",0,47,0,0,0,0,27,0,5,83,
"Backmede",0,111,0,0,0,0,13,0,25,153,
"Backwater",0,9,0,0,0,0,0,0,0,13,
"Badgerys Creek",8,140,0,0,0,0,48,0,19,229,
"Badja",0,4,0,0,0,0,0,0,0,9,
"Baerami",0,47,0,0,0,0,9,0,14,69,
"Baerami Creek",0,21,0,0,0,0,13,0,21,53,
"Bagnoo",0,33,0,0,0,0,8,0,0,40,
"Bago",0,19,0,0,0,0,9,0,7,41,
"Bagotville",0,22,0,0,0,0,18,0,9,47,
"Bakers Creek (Mid-Coast - NSW)",0,26,0,0,0,0,9,0,0,35,
"Bakers Creek (Nambucca - NSW)",0,3,0,0,0,0,4,0,6,14,
"Bakers Creek (Uralla - NSW)",0,11,0,0,0,0,0,0,0,13,
"Bakers Swamp",0,31,0,0,0,0,3,0,7,50,
"Balaclava (NSW)",0,269,0,3,0,0,142,3,70,497,
"Balala",0,72,0,0,0,0,33,0,35,139,
"Balcolyn",5,590,0,0,0,4,296,0,63,961,
"Bald Blair",0,37,0,0,0,0,11,0,0,48,
"Bald Hills (NSW)",0,149,0,0,0,3,99,0,18,263,
"Bald Nob",0,13,0,0,0,0,0,0,0,12,
"Bald Ridge",0,3,0,0,0,0,0,0,0,7,
"Baldersleigh",0,27,0,0,0,0,18,0,4,54,
"Baldry",0,83,0,0,0,0,12,0,7,97,
"Balfours Peak",0,29,0,0,0,0,8,0,0,37,
"Balgowlah",102,3992,48,28,26,45,3012,40,664,7963,
"Balgowlah Heights",29,1986,5,7,4,0,1114,3,200,3345,
"Balgownie",37,3556,37,120,0,16,1400,21,336,5529,
"Balickera",0,20,0,0,0,0,7,0,0,25,
"Balladoran",0,85,0,0,0,0,19,0,10,109,
"Ballalaba",0,18,0,0,0,0,0,0,0,18,
"Balldale",3,102,0,0,0,0,25,0,29,159,
