make,model,suburb,count
ASTON MARTIN,VANQUISH,ACTON,1
AUDI,A3,ACTON,1
AUDI,TT,ACTON,1
BMW,118I,ACTON,1
BMW,2281,ACTON,1
BMW,318I,ACTON,1
BMW,320I,ACTON,1
BMW,328I,ACTON,1
BMW,420I,ACTON,1
BMW,F48 X1,ACTON,1
BMW,X3,ACTON,2
BMW,X5,ACTON,1
BMW,Z4,ACTON,1
CASE,JX1090U,ACTON,1
CASE,JXU105,ACTON,1
CITROEN,C3,ACTON,1
DAEWOO,KALOS,ACTON,1
ELECTRIC TRANSIT,MA16,ACTON,1
EMC ELECTRICS,100127,ACTON,1
EMC ELECTRICS,PANTECA,ACTON,1
FIAT,500 SERIES,ACTON,1
FIAT,DUCATO,ACTON,1
FORD,CAPRI,ACTON,1
FORD,COURIER,ACTON,1
FORD,ECO SPORT,ACTON,1
FORD,FALCON,ACTON,2
FORD,FIESTA,ACTON,2
FORD,FOCUS,ACTON,8
FORD,MONDEO,ACTON,4
FORD,RANGER,ACTON,4
FORD,TERRITORY,ACTON,1
FORD,TRANSIT,ACTON,2
HINO,300,ACTON,1
HINO,FC,ACTON,1
HOLDEN,ASTRA,ACTON,4
HOLDEN,BARINA,ACTON,5
HOLDEN,COLORADO,ACTON,2
HOLDEN,COMBO,ACTON,2
HOLDEN,CRUZE,ACTON,5
HOLDEN,RODEO,ACTON,2
HOLDEN,VE OMEGA MY12,ACTON,1
HONDA,ACCORD,ACTON,5
HONDA,CIVIC,ACTON,9
HONDA,INSIGHT,ACTON,1
HONDA,INTEGRA,ACTON,1
HONDA,JAZZ,ACTON,6
HONDA,PIONEER,ACTON,1
HONDA,PIONEER 500,ACTON,1
HYUNDAI,ACCENT,ACTON,3
HYUNDAI,GETZ,ACTON,3
HYUNDAI,I20,ACTON,2
HYUNDAI,I30,ACTON,4
HYUNDAI,LM IX35 WAGON,ACTON,1
HYUNDAI,TQ,ACTON,1
ISUZU,NLR 200,ACTON,1
ISUZU,NLR200,ACTON,1
ISUZU,NLR45150,ACTON,1
ISUZU,NPR200,ACTON,1
ISUZU,NPR300,ACTON,1
JACOBSEN,84063,ACTON,1
JAGUAR,XF,ACTON,1
JEEP,CHEROKEE,ACTON,1
JEEP,WRANGLER,ACTON,1
JOHN DEERE,8251,ACTON,1
JOHN DEERE,825I,ACTON,1
JOHN DEERE,GATOR,ACTON,1
KAWASAKI,MULE,ACTON,1
KIA,CARNIVAL,ACTON,2
KIA,CERATO,ACTON,2
KIA,OPTIMA,ACTON,1
KIA,RIO,ACTON,1
KOMATSU,FORKLIFT FG25HT17,ACTON,1
KUBOTA,B2320,ACTON,1
KUBOTA,B4200,ACTON,1
KUBOTA,BX2360,ACTON,1
KUBOTA,L5030,ACTON,1
KUBOTA,L5740,ACTON,1
KUBOTA,MOWER,ACTON,1
LAND ROVER,RANGE ROVER,ACTON,1
LEXUS,ES300,ACTON,1
LEXUS,GS300,ACTON,1
LEXUS,IS350,ACTON,1
LEXUS,UX ZA1,ACTON,1
LOW VOLUME VIN,11F20PAX1LD,ACTON,1
LOW VOLUME VIN,AZH8,ACTON,1
LOW VOLUME VIN,CV327NQ,ACTON,1
LOW VOLUME VIN,IS5100Z,ACTON,3
LOW VOLUME VIN,TITAN,ACTON,1
MAZDA,121,ACTON,1
MAZDA,2,ACTON,3
MAZDA,3,ACTON,11
MAZDA,323,ACTON,3
MAZDA,3A,ACTON,1
MAZDA,3B HATCHBACK,ACTON,1
MAZDA,6,ACTON,1
MAZDA,626,ACTON,1
MAZDA,T4000,ACTON,1
MERCEDES,204 C CLASS SEDAN,ACTON,1
MERCEDES,205 C CLASS MY14,ACTON,1
MERCEDES,218,ACTON,1
